127.0.0.1, 2016-10-21 16:44:09, GET, /, HTTP/1.1, 303, 0.003045
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/default/index, HTTP/1.1, 200, 1.561163
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004251
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002025
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007568
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005292
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002013
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009145
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002194
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004764
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002684
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001255
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001122
127.0.0.1, 2016-10-21 16:44:11, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001164
127.0.0.1, 2016-10-21 16:44:12, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001130
127.0.0.1, 2016-10-21 16:44:12, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001168
127.0.0.1, 2016-10-21 16:44:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002592
127.0.0.1, 2016-10-21 16:44:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004028
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/default/site, HTTP/1.1, 303, 0.417179
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/default/index, HTTP/1.1, 200, 0.078118
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001127
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001094
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.007287
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006372
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004320
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.008287
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002148
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.020059
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002689
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.003106
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003451
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.016237
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.034111
127.0.0.1, 2016-10-21 16:44:15, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001813
127.0.0.1, 2016-10-21 16:44:16, GET, /favicon.ico, HTTP/1.1, 400, 0.003376
127.0.0.1, 2016-10-21 16:44:18, POST, /admin/default/index, HTTP/1.1, 303, 0.125949
127.0.0.1, 2016-10-21 16:44:18, GET, /admin/default/site, HTTP/1.1, 200, 0.162646
127.0.0.1, 2016-10-21 16:44:18, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001146
127.0.0.1, 2016-10-21 16:44:18, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.004051
127.0.0.1, 2016-10-21 16:44:18, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001141
127.0.0.1, 2016-10-21 16:44:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000854
127.0.0.1, 2016-10-21 16:44:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.556479
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.388550
